Categoria,Sub categoria 1,Sub categoria 2,OEM,FRAM,Tecfil,Wega,Mann,Mahle,Wix
Motor,Filtro,Filtro de Combustible,,CS12162,,FCD0603,PU8014,KX492,
Motor,Filtro,Filtro de Combustible,,CS3504,PD202,FCD0977,P1278/1,KX88/1D,
Motor,Filtro,Filtro de Combustible,,CS3558,PD204,FCD0978,P1234,KX89/1D,WF10289
Motor,Filtro,Filtro de Aire,,CA10013,,,,,
Motor,Filtro,Filtro de Aire,,CA10023,ARL8109,FAP9013,C25118/1,LX1765,WA10523
Motor,Filtro,Filtro de Aire,,CA10029,,WR200/9,C23610,,WA49783
Motor,Filtro,Filtro de Aire,,CA10030,ARS3902,WAP714,C25710/3,,
Motor,Filtro,Filtro de Aire,,CA10031,ARS5470,,C30810/3,LX3599,
Motor,Filtro,Filtro de Aire,,CA10050,,FAP9017,C2287,LX1652,
Motor,Filtro,Filtro de Aire,,CA10051,,FAP9118,C40163,LX1004,
Motor,Filtro,Filtro de Aire,,CA10057,,FAP6012,C35154,LX1482,WA49020
Motor,Filtro,Filtro de Aire,,CA10083,,JFA0H42,,,
Motor,Filtro,Filtro de Aire,,CA10084,ARL2333,JFA0H16,,LX2648,
Motor,Filtro,Filtro de Aire,,CA10085,ARL6099,FAP6012/2,C43102,LX2093,WA48090
Motor,Filtro,Filtro de Aire,,CA10086,ARL7710,JFA0H12,C2631,LX1785,
Motor,Filtro,Filtro de Aire,,CA10088,,JFA0K15,,,
Motor,Filtro,Filtro de Aire,,CA10111,ARS7993,WR198,C16244,LX2124,WA48240
Motor,Filtro,Filtro de Aire,,CA10112,ARS7065,JFA0292/2,C23107,LX2808/1,WA9644
Motor,Filtro,Filtro de Aire,,CA10112,ARS7065,JFA0292/2,C23107,LX2808/1,WA9644
Motor,Filtro,Filtro de Aire,,CA10114,,FAP6015,C17237,LX2059,WA9523
Motor,Filtro,Filtro de Aire,,CA10115,,JFA0W08,C29008,LX3507/1,WA9682
Motor,Filtro,Filtro de Aire,,CA10116,,FAP5306,C3877/1,LX1920,
Motor,Filtro,Filtro de Aire,,CA10117,,JFA0H05,C2421,LX1840,
Motor,Filtro,Filtro de Aire,,CA10118,,JFA0979,C33007,LX4423,
Motor,Filtro,Filtro de Aire,,CA10130,ARL4155,FAP9014,C22113,,
Motor,Filtro,Filtro de Aire,,CA10131,ARL4151,FAP9014,C3092,LX2643,WA10454
Motor,Filtro,Filtro de Aire,,CA10165,ARL1034,JFA0429,C2240,LX2123,49065
Motor,Filtro,Filtro de Aire,,CA10169,ART2212,JFA0257,C26003,LX2681,49172
Motor,Filtro,Filtro de Aire,,CA10171,,JFA0205,C30009,,WRA3017
Motor,Filtro,Filtro de Aire,,CA10190,ARL2203,JFA0285,C24005,LX3703,WA11070A
Motor,Filtro,Filtro de Aire,,CA10192,ARL5311,FAP3283,C2683,LX1661,49067
Motor,Filtro,Filtro de Aire,,CA10211,,,,LX1968,
Motor,Filtro,Filtro de Aire,,CA10216,,WR371,C17137/1X,LX1006/1,
Motor,Filtro,Filtro de Aire,,CA10217,,WR371,C17137/1X,LX1006/1,
Motor,Filtro,Filtro de Aire,,CA10221,ARS8234,WR2008,C18450/1,LX2532,WA10530
Motor,Filtro,Filtro de Aire,,CA10227,ARL5055,FAP6000,C36005,LX3354,WA48820
Motor,Filtro,Filtro de Aire,,CA10228,,JFA0991,,,
Motor,Filtro,Filtro de Aire,,CA10233,,JFA0428/2,C1724,LX1949,
Motor,Filtro,Filtro de Aire,,CA10234,ARL1654,JFA0134,C2420,LX1631,WA48095
Motor,Filtro,Filtro de Aire,,CA10236,,FAP9032,C39219,LX792,
Motor,Filtro,Filtro de Aire,,CA10237,ARL5049,FAP4054/2,C4371/1,LX1745,WA9503
Motor,Filtro,Filtro de Aire,,CA10239,,WR364,C18114,LX1035,
Motor,Filtro,Filtro de Aire,,CA10253,,FAP9035,C24137/1,LX1605,WA9417
Motor,Filtro,Filtro de Aire,,CA10256,,FAP9025,C41110,LX1262,WA9508
Motor,Filtro,Filtro de Aire,,CA10261,ARL5303,FAP9057,,,
Motor,Filtro,Filtro de Aire,,CA10273,,JFA0594,C16148,LX673,WA6579
Motor,Filtro,Filtro de Aire,,CA10276,,FAP6004,C21004,,
Motor,Filtro,Filtro de Aire,,CA10278,,,C21003,,
Motor,Filtro,Filtro de Aire,,CA10290,,FAP4861,C27161,LX1586,WA9558
Motor,Filtro,Filtro de Aire,,CA10293,ARL9617,FAP4056,,,
Motor,Filtro,Filtro de Aire,,CA10320,ARS8235,WAP111,C321420/2,LX2082/1,93321E
Motor,Filtro,Filtro de Aire,,CA10327,,FAP4054/2,,LX2022,
Motor,Filtro,Filtro de Aire,,CA10328,,FAP9039,C36188,LX1500,
Motor,Filtro,Filtro de Aire,,CA10330,ARL3751,FAP9112,C4312/1,LX1845,WA49876
Motor,Filtro,Filtro de Aire,,CA10332,,JFA0892,C2448,LX1575,
Motor,Filtro,Filtro de Aire,,CA10344,,JFA0431,C27002,,49058
Motor,Filtro,Filtro de Aire,,CA10348,ART1791,,,,
Motor,Filtro,Filtro de Aire,,CA10354,,FAP9029,C24132/2,LX742/2,
Motor,Filtro,Filtro de Aire,,CA10355,ARL4141,JFA0500,C24011,LX2834,WA11471A
Motor,Filtro,Filtro de Aire,,CA10356,,FAP9271,C30161,LX1885,
Motor,Filtro,Filtro de Aire,,CA10414,,WR315,C17237,LX2059,WA9523
Motor,Filtro,Filtro de Aire,,CA10418,,FAP9012,C5082,LX1969,WA9596
Motor,Filtro,Filtro de Aire,,CA10456,,,C25116,,
Motor,Filtro,Filtro de Aire,,CA10470,,JFA0K21,C2029,LX2752,49070
Motor,Filtro,Filtro de Aire,,CA10477,ARS9841,WAP179,C281012,LX3480,WA10441
Motor,Filtro,Filtro de Aire,,CA10477,ARS9841,WAP179,C281012,LX3480,WA10441
Motor,Filtro,Filtro de Aire,,CA10485,,WR218,C16114/2X,LX2092D,
Motor,Filtro,Filtro de Aire,,CA10497,,,,LX2616,
Motor,Filtro,Filtro de Aire,,CA10500,,,,LX1593/2,
Motor,Filtro,Filtro de Aire,,CA10509,,FAP4050,C3880,LX2010,WA9545
Motor,Filtro,Filtro de Aire,,CA10516,ARL4156,JFA0987,C24032,LX4366,WA49016
Motor,Filtro,Filtro de Aire,,CA10518,,FAP2835,C3495,LX2738,WA9618
Motor,Filtro,Filtro de Aire,,CA10520,,JFA0W08,C29008,LX2965,WA9682
Motor,Filtro,Filtro de Aire,,CA10521,ARS5196,WR192,C16134/2,LX1780/3,WA9567
Motor,Filtro,Filtro de Aire,,CA10521,ARS5196,WR192,C16134/2,LX1780/3,WA9567
Motor,Filtro,Filtro de Aire,,CA10522,,FAP9053,C32130,LX2046,WA9580
Motor,Filtro,Filtro de Aire,,CA10524,,,,LX1253,
Motor,Filtro,Filtro de Aire,,CA10539,,JFA0H14,C2735,LX2832,WA11465A
Motor,Filtro,Filtro de Aire,,CA10650,ARL1035,JFA0428/3,C18004,LX2693,WA9904
Motor,Filtro,Filtro de Aire,,CA10651,,FAP9283,C25115,LX1748,WA9655
Motor,Filtro,Filtro de Aire,,CA10653,,FAP9286,C17021/3,LX2633,WA11234
Motor,Filtro,Filtro de Aire,,CA10662-2,,,,,
Motor,Filtro,Filtro de Aire,,CA10675,,FAP4815,C36145,LX2036,
Motor,Filtro,Filtro de Aire,,CA10676,,FAP2415,C36004,LX1564,
Motor,Filtro,Filtro de Aire,,CA10677,,JFA0287,,LX2992,
Motor,Filtro,Filtro de Aire,,CA10683,,JFA0K11,,LX2865,
Motor,Filtro,Filtro de Aire,,CA10693,,FAP9018/1,,LX2038,
Motor,Filtro,Filtro de Aire,,CA10696,,FAP4046,C31003/1,LX3138,WA48110
Motor,Filtro,Filtro de Aire,,CA10697,ARL6070,FAP4046/1,C31003/1,LX3234,WA48110
Motor,Filtro,Filtro de Aire,,CA10699,,JFA0K22,C26014,LX2739,
Motor,Filtro,Filtro de Aire,,CA10700,,FAP9280,C30135,LX1640,WA9601
Motor,Filtro,Filtro de Aire,,CA10739,,FAP3279,C22034,,
Motor,Filtro,Filtro de Aire,,CA10748SY,,,,,
Motor,Filtro,Filtro de Aire,,CA10749,,,C18360/2,LX3190,
Motor,Filtro,Filtro de Aire,,CA10749SY,,,,,
